feature,mean_importance,n_labels,in_anchor_set
dpq040___feeling_tired_or_having_little_energy,0.08808366534259453,8,True
slq050___ever_told_doctor_had_trouble_sleeping?,0.08668819579652855,8,True
mcq160l___ever_told_you_had_any_liver_condition,0.08279332296607295,8,True
mcq053___taking_treatment_for_anemia/past_3_mos,0.06922731165442186,8,True
med_count,0.0584691905860679,8,True
kiq022___ever_told_you_had_weak/failing_kidneys?,0.04498358043541524,8,True
age_years,0.042812763316031774,8,True
huq051___#times_receive_healthcare_over_past_year,0.03287885343699003,8,True
heq030___ever_told_you_have_hepatitis_c?,0.029140997550886904,8,True
diq010___doctor_told_you_have_diabetes,0.02630373013060398,8,True
uacr_mg_g,0.019376453978479376,8,True
huq010___general_health_condition,0.019240634930151285,8,True
diq070___take_diabetic_pills_to_lower_blood_sugar,0.018914143407261077,8,True
mcq366d___doctor_told_to_reduce_fat_in_diet,0.017129913273234165,8,True
cdq010___shortness_of_breath_on_stairs/inclines,0.015099613517476077,8,True
bmi,0.01463991649054273,8,True
weight_kg,0.014582464835901376,8,True
bpq020___ever_told_you_had_high_blood_pressure,0.01353886450432116,8,True
bpq080___doctor_told_you___high_cholesterol_level,0.013069345986087165,8,True
total_cholesterol_mg_dl,0.01298979369962322,8,True
sld012___sleep_hours___weekdays_or_workdays,0.012752489510604939,8,True
pad680___minutes_sedentary_activity,0.012705430219161252,8,True
fasting_glucose_mg_dl,0.01257313753703571,8,True
hdl_cholesterol_mg_dl,0.011762827386833239,8,True
mcq160a___ever_told_you_had_arthritis,0.011303639469971514,8,True
mcq092___ever_receive_blood_transfusion,0.01120322672890623,8,True
ocq180___hours_worked_last_week_in_total_all_jobs,0.011079321620153494,8,True
sld013___sleep_hours___weekends,0.010980184059833989,8,True
mcq080___doctor_ever_said_you_were_overweight,0.010876003159490822,8,True
LBXWBCSI_white_blood_cell_count_1000_cells_ul,0.010508271982740857,8,True
rhq031___had_regular_periods_in_past_12_months,0.010161918788468822,8,True
LBXSTP_total_protein_g_dl,0.009490347966668238,8,True
slq030___how_often_do_you_snore?,0.00891081214539301,8,True
mcq520___abdominal_pain_during_past_12_months?,0.008553776226968443,8,True
alq130___avg_#_alcoholic_drinks/day___past_12_mos,0.008521526219411314,8,True
mcq300c___close_relative_had_diabetes,0.008370401573672595,8,True
triglycerides_mg_dl,0.007287521048944539,8,True
kiq005___how_often_have_urinary_leakage?,0.007080426478610557,8,True
smq020___smoked_at_least_100_cigarettes_in_life,0.007073298465457409,8,True
rhq060___age_at_last_menstrual_period,0.006616317988590774,8,True
LBDLDL_ldl_cholesterol_friedewald_mg_dl,0.006239512743868878,8,True
kiq480___how_many_times_urinate_in_night?,0.005719821806750633,8,True
smd650___avg_#_cigarettes/day_during_past_30_days,0.005631028270622613,8,True
rhq160___how_many_times_have_been_pregnant?,0.004731761893879183,8,True
ocq670___overall_work_schedule_past_3_months,0.004353119496108398,8,True
smq040___do_you_now_smoke_cigarettes?,0.004335280088471812,8,True
huq071___overnight_hospital_patient_in_last_year,0.003754278484572497,8,True
alq151___ever_have_4/5_or_more_drinks_every_day?,0.003653903879056942,8,True
mcq195___which_type_of_arthritis_was_it?,0.0034435582082229296,8,True
"whq040___like_to_weigh_more,_less_or_same",0.0033403929479876885,8,True
diq050___taking_insulin_now,0.0030376272813338982,8,True
kiq042___leak_urine_during_physical_activities?,0.002985708346362572,8,True
kiq026___ever_had_kidney_stones?,0.0028023627298550515,8,True
mcq160b___ever_told_you_had_congestive_heart_failure,0.0024042439258500164,8,True
whq070___tried_to_lose_weight_in_past_year,0.002292975568490051,8,True
kiq052___how_much_were_daily_activities_affected?,0.0020835431204599274,8,True
paq620___moderate_work_activity,0.002034164886890358,8,True
paq665___moderate_recreational_activities,0.0018514712106719425,8,True
mcq010___ever_been_told_you_have_asthma,0.001842698501301319,8,True
paq650___vigorous_recreational_activities,0.001821525505511234,8,True
kiq450___how_frequently_does_this_occur?,0.0017323133665175783,8,True
kiq044___urinated_before_reaching_the_toilet?,0.0016940733821232232,8,True
kiq430___how_frequently_does_this_occur?,0.0015889808826841758,8,True
rhq540___ever_use_female_hormones?,0.001559416800632647,8,True
smq078___how_soon_after_waking_do_you_smoke,0.0011830897322557044,8,True
kiq010___how_much_urine_lose_each_time?,0.0010333569357321925,8,True
mcq540___ever_seen_a_dr_about_this_pain,0.0009816985531421413,8,True
mcq160f___ever_told_you_had_stroke,0.0009207058545033762,8,True
alq111___ever_had_a_drink_of_any_kind_of_alcohol,0.0008266528148957938,8,True
bpq050a___now_taking_prescribed_medicine_for_hbp,0.0007001887164265481,8,True
mcq160e___ever_told_you_had_heart_attack,0.0006010116695737721,8,True
bpq030___told_had_high_blood_pressure___2+_times,0.0005383330477785392,8,True
rhq131___ever_been_pregnant?,0.0005075649318572639,8,True
