feature,mean_importance,n_labels,in_anchor_set
fatigue_ordinal,0.028483733218106794,8,False
mcq160m___ever_told_you_had_thyroid_problem,0.02693488594302247,8,False
fatigue_binary_lenient,0.019298418933014688,8,False
fatigue_binary_strict,0.016130345989694084,8,False
rxdcount___number_of_prescription_medicines_taken,0.015835707123731047,8,False
"rxduse___taken_prescription_medicine,_past_month",0.013308546863989999,8,False
diq160___ever_told_you_have_prediabetes,0.012652658455677151,8,False
mcd180l___age_when_told_you_had_liver_condition,0.011726837562581496,8,False
mcd180m___age_when_told_you_had_thyroid_problem,0.011530045412909168,8,False
prediabetes,0.011164537712115185,8,False
slq040___how_often_do_you_snort_or_stop_breathing,0.01064101114222012,8,False
mcq170l___still_have_liver_condition,0.0080530406493922,8,False
LBXGH_glycohemoglobin,0.007373674353188224,8,False
LBXHGB_hemoglobin_g_dl,0.0067274012543729386,8,False
LBXHCT_hematocrit,0.006438627858964645,8,False
serum_creatinine_mg_dl,0.006147776738898214,8,False
LBXHCR_hepatitis_c_rna,0.005601028835926717,8,False
whq150___age_when_heaviest_weight,0.005335229462575986,8,False
LBDSGLSI_glucose_refrigerated_serum_mmol_l,0.005316649649581186,8,False
rxddays___number_of_days_taken_medicine,0.004996822220927899,8,False
mcq366b___doctor_told_to_increase_exercise,0.0049134963987306456,8,False
LBDSCRSI_creatinine_refrigerated_serum_umol_l,0.004806070009074747,8,False
LBXSCR_creatinine_refrigerated_serum_mg_dl,0.004747659759846553,8,False
LBXSGL_glucose_refrigerated_serum_mg_dl,0.004720147511972463,8,False
heq010___ever_told_you_have_hepatitis_b?,0.0043708732458557515,8,False
URDACT_albumin_creatinine_ratio_mg_g,0.0041752559450410585,8,False
LBXRBCSI_red_blood_cell_count_million_cells_ul,0.0041739186689745,8,False
bpq090d___told_to_take_prescriptn_for_cholesterol,0.00416435579680993,8,False
liver_stiffness_kpa,0.004097914150807367,8,False
height_cm,0.0038875009862452577,8,False
diq300d___what_was_your_recent_dbp,0.0037168754542708485,8,False
LBXHBC_hepatitis_b_core_antibody,0.0036744174101494905,8,False
mcq366c___doctor_told_to_reduce_salt,0.003669622810824866,8,False
LBXFSH_follicle_stimulating_hormone_miu_ml,0.00366054414302521,8,False
LBXAMH_anti_mullerian_hormone_ng_ml,0.003650698170310853,8,False
bpd035___age_told_had_hypertension,0.003600380667468508,8,False
URXUMS_albumin_urine_mg_l,0.0035750681352401245,8,False
LBXRDW_red_cell_distribution_width,0.0035587611205319114,8,False
LBDFERSI_ferritin_ug_l,0.0035417350768851717,8,False
LBXSASSI_aspartate_aminotransferase_ast_u_l,0.0033965599897004366,8,False
mcq366a___doctor_told_to_control_weight,0.003387727171130622,8,False
URXUMA_albumin_urine_ug_ml,0.003323429032505437,8,False
cdq001___sp_ever_had_pain_or_discomfort_in_chest,0.0032031014687298443,8,False
LBXBPB_blood_lead_ug_dl,0.003193178496494595,8,False
LBDBCDSI_blood_cadmium_nmol_l,0.003153614066753509,8,False
waist_cm,0.0031448384693088835,8,False
whd140___self_reported_greatest_weight_(pounds),0.003141439009547365,8,False
ferritin_ng_ml,0.003129980840815774,8,False
LBXSATSI_alanine_aminotransferase_alt_u_l,0.0031289837920097188,8,False
LBXBCD_blood_cadmium_ug_l,0.003125502056261242,8,False
diq300s___what_was_your_recent_sbp,0.0030930792702237803,8,False
LBXLUH_luteinizing_hormone_miu_ml,0.0030669018686653804,8,False
LBDBPBSI_blood_lead_umol_l,0.003020282351117262,8,False
LBXSIR_iron_refrigerated_serum_ug_dl,0.002947827612406258,8,False
alt_u_l,0.002807581200808285,8,False
whd110___self_reported_weight_10_yrs_ago_(pounds),0.002804449295147316,8,False
ast_u_l,0.0027981887662864146,8,False
LBXSGTSI_gamma_glutamyl_transferase_ggt_iu_l,0.0027948495052192855,8,False
heq040___ever_prescribed_meds_treat_hepatitis_c?,0.0027822152369740127,8,False
LBXFER_ferritin_ng_ml,0.0027662730905716405,8,False
