SEQN,RIAGENDR,RIDAGEYR,RIDRETH3,RIDRETH1,RIDEXPRG,DMDEDUC2,DMDMARTZ,DMDBORN4,INDFMPIR,WTMECPRP,WTINTPRP,SDMVPSU,SDMVSTRA,gender,ethnicity,education,marital_status,pregnancy_status,country_of_birth
109266,2.0,29.0,6.0,5.0,2.0,5.0,3.0,2.0,5.0,8154.968193,7825.646112,2.0,168.0,Female,Non-Hispanic Asian,College graduate or above,Never married,Not pregnant,Born in Mexico
109284,2.0,44.0,1.0,1.0,2.0,2.0,1.0,2.0,,13794.793542,13822.803724,1.0,154.0,Female,Mexican American,9-11th grade,Married / Living with partner,Not pregnant,Born in Mexico
109291,2.0,42.0,6.0,5.0,2.0,5.0,1.0,1.0,,17228.617805,15845.543149,1.0,161.0,Female,Non-Hispanic Asian,College graduate or above,Married / Living with partner,Not pregnant,Born in 50 US states or DC
109297,2.0,30.0,6.0,5.0,2.0,4.0,3.0,1.0,,14974.372893,13785.399152,2.0,154.0,Female,Non-Hispanic Asian,Some college / AA,Never married,Not pregnant,Born in 50 US states or DC
109311,2.0,36.0,2.0,2.0,3.0,4.0,3.0,1.0,3.39,5.397605346934028e-79,28442.976987,1.0,166.0,Female,Other Hispanic,Some college / AA,Never married,Cannot determine,Born in 50 US states or DC
109315,2.0,30.0,4.0,4.0,2.0,4.0,3.0,1.0,2.16,7489.193596,7299.490539,2.0,170.0,Female,Non-Hispanic Black,Some college / AA,Never married,Not pregnant,Born in 50 US states or DC
109317,2.0,28.0,4.0,4.0,2.0,4.0,3.0,1.0,,14593.735207,13686.835274,2.0,154.0,Female,Non-Hispanic Black,Some college / AA,Never married,Not pregnant,Born in 50 US states or DC
109322,2.0,45.0,1.0,1.0,,2.0,1.0,2.0,2.79,14880.305672,14839.485563,2.0,161.0,Female,Mexican American,9-11th grade,Married / Living with partner,,Born in Mexico
109326,2.0,44.0,3.0,3.0,2.0,3.0,1.0,1.0,5.0,94345.370135,83913.333785,2.0,152.0,Female,Non-Hispanic White,High school / GED,Married / Living with partner,Not pregnant,Born in 50 US states or DC
109333,2.0,41.0,2.0,2.0,2.0,4.0,1.0,1.0,5.0,16401.59972,15305.767602,2.0,166.0,Female,Other Hispanic,Some college / AA,Married / Living with partner,Not pregnant,Born in 50 US states or DC
109342,2.0,43.0,3.0,3.0,2.0,4.0,2.0,1.0,1.08,67850.682782,63669.639041,1.0,155.0,Female,Non-Hispanic White,Some college / AA,Widowed / Divorced / Separated,Not pregnant,Born in 50 US states or DC
109373,2.0,30.0,3.0,3.0,2.0,4.0,3.0,1.0,1.22,14611.858553,14343.322465,2.0,167.0,Female,Non-Hispanic White,Some college / AA,Never married,Not pregnant,Born in 50 US states or DC
109390,2.0,44.0,4.0,4.0,2.0,5.0,1.0,1.0,2.9,6931.067216,6775.204884,1.0,150.0,Female,Non-Hispanic Black,College graduate or above,Married / Living with partner,Not pregnant,Born in 50 US states or DC
109394,2.0,29.0,4.0,4.0,2.0,4.0,3.0,1.0,0.17,10118.84941,9360.146917,2.0,163.0,Female,Non-Hispanic Black,Some college / AA,Never married,Not pregnant,Born in 50 US states or DC
109396,2.0,37.0,6.0,5.0,2.0,5.0,2.0,2.0,2.38,12988.809968,12300.477627,2.0,154.0,Female,Non-Hispanic Asian,College graduate or above,Widowed / Divorced / Separated,Not pregnant,Born in Mexico
109405,2.0,32.0,1.0,1.0,2.0,3.0,1.0,2.0,0.61,40402.156101,37510.194605,2.0,162.0,Female,Mexican American,High school / GED,Married / Living with partner,Not pregnant,Born in Mexico
109423,2.0,28.0,1.0,1.0,2.0,3.0,2.0,2.0,,30320.108051,27046.892491,2.0,161.0,Female,Mexican American,High school / GED,Widowed / Divorced / Separated,Not pregnant,Born in Mexico
109431,2.0,45.0,2.0,2.0,,4.0,1.0,2.0,5.0,8443.23462,8663.022452,1.0,168.0,Female,Other Hispanic,Some college / AA,Married / Living with partner,,Born in Mexico
109432,2.0,44.0,4.0,4.0,2.0,5.0,3.0,1.0,3.66,7578.581746,6988.357343,2.0,159.0,Female,Non-Hispanic Black,College graduate or above,Never married,Not pregnant,Born in 50 US states or DC
109454,2.0,25.0,4.0,4.0,2.0,4.0,3.0,1.0,0.29,12158.466823,11041.525929,2.0,171.0,Female,Non-Hispanic Black,Some college / AA,Never married,Not pregnant,Born in 50 US states or DC
109478,2.0,27.0,3.0,3.0,2.0,4.0,1.0,1.0,5.0,39528.599571,37996.261846,1.0,158.0,Female,Non-Hispanic White,Some college / AA,Married / Living with partner,Not pregnant,Born in 50 US states or DC
109502,2.0,29.0,1.0,1.0,2.0,4.0,1.0,1.0,2.38,24330.138035,22453.899891,2.0,154.0,Female,Mexican American,Some college / AA,Married / Living with partner,Not pregnant,Born in 50 US states or DC
109508,2.0,39.0,3.0,3.0,2.0,5.0,1.0,1.0,5.0,223255.602236,218279.807754,2.0,157.0,Female,Non-Hispanic White,College graduate or above,Married / Living with partner,Not pregnant,Born in 50 US states or DC
