original_column,source_file,label,readable_name_suggested,readable_name_final,keep_status,notes
SEQN,P_ALB_CR.xpt | P_BIOPRO.xpt | P_CBC.xpt | P_CMV.xpt | P_COT.xpt | P_CRCO.xpt | P_ETHOX.xpt | P_FASTQX.xpt | P_FERTIN.xpt | P_FETIB.xpt | P_FOLATE.xpt | P_FOLFMS.xpt | P_FR.xpt | P_GHB.xpt | P_GLU.xpt | P_HDL.xpt | P_HEPA.xpt | P_HEPBD.xpt | P_HEPB_S.xpt | P_HEPC.xpt | P_HEPE.xpt | P_HSCRP.xpt | P_IHGEM.xpt | P_OPD.xpt | P_PBCD.xpt | P_PERNT.xpt | P_PFAS.xpt | P_SSAGP.xpt | P_SSFR.xpt | P_SSMMRV.xpt | P_SSUVCM.xpt | P_TCHOL.xpt | P_TFR.xpt | P_TRIGLY.xpt | P_TST.xpt | P_UAS.xpt | P_UCFLOW.xpt | P_UCM.xpt | P_UCPREG.xpt | P_UHG.xpt | P_UIO.xpt | P_UM.xpt | P_UNI.xpt | P_UTAS.xpt | P_UVOC.xpt | P_UVOC2.xpt | P_VOCWB.xpt,Respondent Sequence Number | Respondent sequence number,respondent_sequence_number_respondent_sequence_number,SEQN,keep_id,
URXUMA,P_ALB_CR.xpt,"Albumin, urine (ug/mL)",albumin_urine_ug_ml,,review,
URXUMS,P_ALB_CR.xpt,"Albumin, urine (mg/L)",albumin_urine_mg_l,,review,
URDUMALC,P_ALB_CR.xpt,"Albumin, urine comment code",albumin_urine_comment_code,,review,
URXUCR,P_ALB_CR.xpt,"Creatinine, urine (mg/dL)",creatinine_urine_mg_dl,,review,
URXCRS,P_ALB_CR.xpt,"Creatinine, urine (umol/L)",creatinine_urine_umol_l,,review,
URDUCRLC,P_ALB_CR.xpt,"Creatinine, urine comment code",creatinine_urine_comment_code,,review,
URDACT,P_ALB_CR.xpt,Albumin creatinine ratio (mg/g),albumin_creatinine_ratio_mg_g,,review,
LBXSATSI,P_BIOPRO.xpt,Alanine Aminotransferase (ALT) (U/L),alanine_aminotransferase_alt_u_l,,review,
LBDSATLC,P_BIOPRO.xpt,ALT Comment Code,alt_comment_code,,review,
LBXSAL,P_BIOPRO.xpt,"Albumin, refrigerated serum (g/dL)",albumin_refrigerated_serum_g_dl,,review,
LBDSALSI,P_BIOPRO.xpt,"Albumin, refrigerated serum (g/L)",albumin_refrigerated_serum_g_l,,review,
LBXSAPSI,P_BIOPRO.xpt,Alkaline Phosphatase (ALP) (IU/L),alkaline_phosphatase_alp_iu_l,,review,
LBXSASSI,P_BIOPRO.xpt,Aspartate Aminotransferase (AST) (U/L),aspartate_aminotransferase_ast_u_l,,review,
LBXSC3SI,P_BIOPRO.xpt,Bicarbonate (mmol/L),bicarbonate_mmol_l,,review,
LBXSBU,P_BIOPRO.xpt,Blood Urea Nitrogen (mg/dL),blood_urea_nitrogen_mg_dl,,review,
LBDSBUSI,P_BIOPRO.xpt,Blood Urea Nitrogen (mmol/L),blood_urea_nitrogen_mmol_l,,review,
