feature,dtype,missing_pct,n_unique,example_values,is_binary_like,keep_for_model,drop_reason
smq621___cigarettes_smoked_in_entire_life,float64,100.0,0,[],True,False,too_few_non_null
kiq029___pass_kidney_stone_in_past_12_months?,float64,91.93,3,"[np.float64(2.0), np.float64(1.0), np.float64(9.0)]",False,False,too_missing
mcq040___had_asthma_attack_in_past_year,float64,90.13,3,"[np.float64(2.0), np.float64(1.0), np.float64(9.0)]",False,False,too_missing
smq078___how_soon_after_waking_do_you_smoke,float64,85.16,8,"[np.float64(2.0), np.float64(1.0), np.float64(4.0), np.float64(7.0), np.float64(3.0)]",False,False,too_missing
mcq035___still_have_asthma,float64,83.19,4,"[np.float64(1.0), np.float64(2.0), np.float64(9.0), np.float64(7.0)]",False,False,too_missing
smq050u___unit_of_measure_(day/week/month/year),float64,82.37,4,"[np.float64(3.0), np.float64(4.0), np.float64(2.0), np.float64(1.0)]",False,False,too_missing
smq050q___how_long_since_quit_smoking_cigarettes,float64,82.32,50,"[np.float64(8.0), np.float64(1.0), np.float64(3.0), np.float64(4.0), np.float64(17.0)]",False,False,too_missing
smq670___tried_to_quit_smoking,float64,80.26,2,"[np.float64(1.0), np.float64(2.0)]",False,False,too_missing
paq640___number_of_days_walk_or_bicycle,float64,74.33,8,"[np.float64(4.0), np.float64(5.0), np.float64(7.0), np.float64(3.0), np.float64(2.0)]",False,False,too_missing
paq610___number_of_days_vigorous_work,float64,72.0,8,"[np.float64(5.0), np.float64(3.0), np.float64(1.0), np.float64(2.0), np.float64(6.0)]",False,False,too_missing
bpq030___told_had_high_blood_pressure___2+_times,float64,71.36,3,"[np.float64(2.0), np.float64(1.0), np.float64(9.0)]",False,False,too_missing
paq655___days_vigorous_recreational_activities,float64,70.2,8,"[np.float64(5.0), np.float64(6.0), np.float64(4.0), np.float64(1.0), np.float64(7.0)]",False,False,too_missing
smq040___do_you_now_smoke_cigarettes?,float64,62.58,3,"[np.float64(1.0), np.float64(3.0), np.float64(2.0)]",False,False,too_missing
paq670___days_moderate_recreational_activities,float64,57.7,8,"[np.float64(4.0), np.float64(5.0), np.float64(2.0), np.float64(7.0), np.float64(3.0)]",False,True,
