feature,feature_type,missing_pct_train,n_unique_train,association_metric,association_value,abs_association,p_value,n_train_non_null
med_count,numeric,0.0,21,pointbiserial,0.1295931597658041,0.1295931597658041,1.0616700259963841e-23,5949
bpq020___ever_told_you_had_high_blood_pressure,categorical,0.0,3,cramers_v,0.11667140796178521,0.11667140796178521,2.6038494587868607e-18,5949
kiq480___how_many_times_urinate_in_night?,categorical,17.92,8,cramers_v,0.09510948533378086,0.09510948533378086,1.980450509369648e-07,4883
paq670___days_moderate_recreational_activities,categorical,57.4,8,cramers_v,0.08231870993664264,0.08231870993664264,0.016324248317150694,2534
mcq160a___ever_told_you_had_arthritis,categorical,5.98,3,cramers_v,0.07704083146500061,0.07704083146500061,6.188192631380468e-08,5593
huq010___general_health_condition,categorical,0.0,7,cramers_v,0.07495957153634242,0.07495957153634242,8.676980433690737e-06,5949
cdq010___shortness_of_breath_on_stairs/inclines,categorical,43.6,3,cramers_v,0.06702904267993534,0.06702904267993534,0.0005330862783922058,3355
paq650___vigorous_recreational_activities,categorical,0.0,2,cramers_v,0.06476105795273816,0.06476105795273816,5.88342709574776e-07,5949
paq625___number_of_days_moderate_work,categorical,54.4,8,cramers_v,0.06237360206380812,0.06237360206380812,0.15925003402145518,2713
kiq022___ever_told_you_had_weak/failing_kidneys?,categorical,5.98,3,cramers_v,0.05877672053321071,0.05877672053321071,6.371588881634539e-05,5593
mcq160p___ever_told_you_had_copd_emphysema,categorical,5.98,3,cramers_v,0.053427950059268745,0.053427950059268745,0.0003413038360349162,5593
kiq005___how_often_have_urinary_leakage?,categorical,17.89,7,cramers_v,0.05045566894961877,0.05045566894961877,0.05291762895206619,4885
cdq001___sp_ever_had_pain_or_discomfort_in_chest,categorical,43.6,3,cramers_v,0.04695262483588382,0.04695262483588382,0.02476978012370923,3355
dpq040___feeling_tired_or_having_little_energy,categorical,13.08,6,cramers_v,0.045178965968677175,0.045178965968677175,0.06095913561175846,5171
mcq092___ever_receive_blood_transfusion,categorical,0.0,3,cramers_v,0.040536148285706515,0.040536148285706515,0.007539217509583856,5949
mcq560___ever_had_gallbladder_surgery?,categorical,5.98,3,cramers_v,0.04044671603048174,0.04044671603048174,0.0103073570039497,5593
smq020___smoked_at_least_100_cigarettes_in_life,categorical,0.0,3,cramers_v,0.03959897226162951,0.03959897226162951,0.009426317118174463,5949
kiq026___ever_had_kidney_stones?,categorical,5.98,3,cramers_v,0.03778892421938731,0.03778892421938731,0.018436740988290373,5593
paq665___moderate_recreational_activities,categorical,0.0,2,cramers_v,0.03643854831501494,0.03643854831501494,0.004946512460716047,5949
kiq044___urinated_before_reaching_the_toilet?,categorical,17.9,4,cramers_v,0.035025896274704725,0.035025896274704725,0.11201196934167763,4884
mcq550___has_dr_ever_said_you_have_gallstones,categorical,5.98,3,cramers_v,0.034164283624315214,0.034164283624315214,0.03823247561268268,5593
paq620___moderate_work_activity,categorical,0.0,3,cramers_v,0.029243803239577853,0.029243803239577853,0.07856786675609714,5949
slq030___how_often_do_you_snore?,categorical,0.0,6,cramers_v,0.026152215364065683,0.026152215364065683,0.5395608301694232,5949
kiq046___leak_urine_during_nonphysical_activities,categorical,17.92,4,cramers_v,0.025574812503721674,0.025574812503721674,0.362695129407099,4883
mcq160m___ever_told_you_had_thyroid_problem,categorical,5.98,3,cramers_v,0.023096172428860234,0.023096172428860234,0.22497952289268167,5593
"whq040___like_to_weigh_more,_less_or_same",categorical,0.0,4,cramers_v,0.021337775925917853,0.021337775925917853,0.43877054567925844,5949
paq605___vigorous_work_activity,categorical,0.0,4,cramers_v,0.021256874562042078,0.021256874562042078,0.44225614349118547,5949
mcq520___abdominal_pain_during_past_12_months?,categorical,5.98,3,cramers_v,0.011242387170392585,0.011242387170392585,0.7022588683717181,5593
mcq010___ever_been_told_you_have_asthma,categorical,0.0,3,cramers_v,0.010660521607932332,0.010660521607932332,0.7131652120350122,5949
paq635___walk_or_bicycle,categorical,0.0,3,cramers_v,0.01055476824166132,0.01055476824166132,0.7179404744593927,5949
