feature,dtype,missing_pct,n_unique,example_values,is_binary_like,keep_for_model,drop_reason
mcq149___menstrual_periods_started_yet?,float64,100.0,0,[],True,False,too_few_non_null
mcq151___age_in_years_at_first_menstrual_period,float64,100.0,0,[],True,False,too_few_non_null
smq621___cigarettes_smoked_in_entire_life,float64,100.0,0,[],True,False,too_few_non_null
mcq230c___what_kind_of_cancer_third_mention,float64,99.93,4,"[np.float64(20.0), np.float64(23.0), np.float64(38.0), np.float64(15.0)]",False,False,too_few_non_null
cdq009g___pain_in_left_arm,float64,99.85,1,[np.float64(7.0)],False,False,too_few_non_null
cdq009c___pain_in_neck,float64,99.84,1,[np.float64(3.0)],False,False,too_few_non_null
cdq009a___pain_in_right_arm,float64,99.81,1,[np.float64(1.0)],True,False,too_few_non_null
rhq020___age_range_at_first_menstrual_period,float64,99.68,5,"[np.float64(9.0), np.float64(3.0), np.float64(2.0), np.float64(4.0), np.float64(7.0)]",False,False,too_few_non_null
rhq070___age_range_at_last_menstrual_period,float64,99.61,8,"[np.float64(99.0), np.float64(3.0), np.float64(6.0), np.float64(2.0), np.float64(4.0)]",False,False,too_few_non_null
mcq230b___what_kind_of_cancer_second_mention,float64,99.61,15,"[np.float64(37.0), np.float64(16.0), np.float64(39.0), np.float64(24.0), np.float64(28.0)]",False,False,too_few_non_null
cdq009b___pain_in_right_chest,float64,99.41,1,[np.float64(2.0)],False,False,too_few_non_null
rhq542b___hormone_patches_used,float64,99.31,1,[np.float64(11.0)],False,False,too_few_non_null
cdq009e___pain_in_lower_sternum,float64,99.23,1,[np.float64(5.0)],False,False,too_few_non_null
cdq009f___pain_in_left_chest,float64,98.74,1,[np.float64(6.0)],False,False,too_few_non_null
rhq542c___hormone_cream/suppository/injection_used,float64,98.56,1,[np.float64(12.0)],False,False,too_few_non_null
cdq009d___pain_in_upper_sternum,float64,98.23,1,[np.float64(4.0)],False,False,too_few_non_null
kiq025___received_dialysis_in_past_12_months?,float64,97.5,2,"[np.float64(2.0), np.float64(1.0)]",False,False,too_few_non_null
rhq542a___hormone_pills_used,float64,97.03,1,[np.float64(10.0)],False,False,too_few_non_null
rhq554___use_hormone_pills_w/estrogen_only,float64,97.03,3,"[np.float64(2.0), np.float64(1.0), np.float64(9.0)]",False,False,too_few_non_null
rhq570___used_estrogen/progestin_combo_pills,float64,97.03,3,"[np.float64(2.0), np.float64(9.0), np.float64(1.0)]",False,False,too_few_non_null
rhq200___now_breastfeeding_a_child?,float64,96.84,2,"[np.float64(2.0), np.float64(1.0)]",False,False,too_few_non_null
rhq197___how_many_months_ago_have_baby?,float64,96.81,24,"[np.float64(16.0), np.float64(19.0), np.float64(20.0), np.float64(10.0), np.float64(22.0)]",False,False,too_few_non_null
rhq332___age_when_both_ovaries_removed,float64,96.72,41,"[np.float64(53.0), np.float64(45.0), np.float64(38.0), np.float64(50.0), np.float64(42.0)]",False,False,too_few_non_null
cdq006___how_soon_is_the_pain_relieved,float64,96.18,3,"[np.float64(2.0), np.float64(1.0), np.float64(9.0)]",False,False,too_few_non_null
cdq005___does_standing_relieve_pain/discomfort,float64,95.37,3,"[np.float64(1.0), np.float64(2.0), np.float64(9.0)]",False,False,too_few_non_null
cdq004___if_so_does_sp_continue_or_slow_down,float64,94.82,2,"[np.float64(1.0), np.float64(2.0)]",False,False,too_few_non_null
kiq470___how_frequently_does_this_occur?,float64,94.63,4,"[np.float64(2.0), np.float64(1.0), np.float64(3.0), np.float64(4.0)]",False,False,too_few_non_null
cdq003___during_an_ordinary_pace_on_level_ground,float64,94.55,2,"[np.float64(2.0), np.float64(1.0)]",False,False,too_few_non_null
mcq230a___what_kind_of_cancer_first_mention,float64,94.54,28,"[np.float64(14.0), np.float64(30.0), np.float64(16.0), np.float64(38.0), np.float64(35.0)]",False,False,too_few_non_null
mcq570___age_when_1st_had_gallbladder_surgery?,float64,92.15,51,"[np.float64(35.0), np.float64(31.0), np.float64(37.0), np.float64(23.0), np.float64(59.0)]",False,False,too_missing
kiq029___pass_kidney_stone_in_past_12_months?,float64,91.93,3,"[np.float64(2.0), np.float64(1.0), np.float64(9.0)]",False,False,too_missing
mcq170m___still_have_thyroid_problem,float64,91.42,3,"[np.float64(1.0), np.float64(2.0), np.float64(9.0)]",False,False,too_missing
mcq050___emergency_care_visit_for_asthma/past_yr,float64,90.13,2,"[np.float64(2.0), np.float64(1.0)]",False,False,too_missing
mcq040___had_asthma_attack_in_past_year,float64,90.13,3,"[np.float64(2.0), np.float64(1.0), np.float64(9.0)]",False,False,too_missing
alq290___#_times_12+_drinks_in_1_day/past_12_mos,float64,88.14,12,"[np.float64(0.0), np.float64(8.0), np.float64(10.0), np.float64(9.0), np.float64(7.0)]",False,False,too_missing
