feature,feature_type,missing_pct_train,n_unique_train,association_metric,association_value,abs_association,p_value,n_train_non_null
mcq366b___doctor_told_to_increase_exercise,categorical,0.0,3,cramers_v,0.17583316565837728,0.17583316565837728,1.1501455368283082e-40,5949
mcq366d___doctor_told_to_reduce_fat_in_diet,categorical,0.0,3,cramers_v,0.16716514881564354,0.16716514881564354,7.969838850317442e-37,5949
mcq366c___doctor_told_to_reduce_salt,categorical,0.0,3,cramers_v,0.14459789106147072,0.14459789106147072,9.775706046595865e-28,5949
slq310___usual_wake_time_on_weekdays_or_workdays,categorical,0.67,105,cramers_v,0.1368688055622895,0.1368688055622895,0.3083511865396202,5909
slq330___usual_wake_time_on_weekends,categorical,0.62,67,cramers_v,0.11632511329578041,0.11632511329578041,0.11532715879042718,5912
bpq020___ever_told_you_had_high_blood_pressure,categorical,0.0,3,cramers_v,0.10772443327602273,0.10772443327602273,1.0212546657711438e-15,5949
slq300___usual_sleep_time_on_weekdays_or_workdays,categorical,0.71,64,cramers_v,0.10613914523056484,0.10613914523056484,0.3559609234170259,5907
"whq040___like_to_weigh_more,_less_or_same",categorical,0.0,4,cramers_v,0.10212515186763688,0.10212515186763688,2.148577199770201e-13,5949
slq320___usual_sleep_time_on_weekends,categorical,0.62,55,cramers_v,0.10075111641252638,0.10075111641252638,0.2669989122214213,5912
rhq031___had_regular_periods_in_past_12_months,categorical,54.78,3,cramers_v,0.09179341322290854,0.09179341322290854,1.1971145966284239e-05,2690
slq030___how_often_do_you_snore?,categorical,0.0,6,cramers_v,0.09115471717286047,0.09115471717286047,1.8114545477719022e-09,5949
mcq371d___doing_reducing_fat_in_diet,categorical,0.0,4,cramers_v,0.08981499720902664,0.08981499720902664,2.1409907708315643e-10,5949
mcq371c___doing_reducing_salt,categorical,0.0,3,cramers_v,0.08901275477515455,0.08901275477515455,5.8163207193136526e-11,5949
huq010___general_health_condition,categorical,0.0,7,cramers_v,0.0875252013254441,0.0875252013254441,3.5999193783422244e-08,5949
slq050___ever_told_doctor_had_trouble_sleeping?,categorical,0.0,4,cramers_v,0.08580830224754446,0.08580830224754446,1.661935289685001e-09,5949
mcq160m___ever_told_you_had_thyroid_problem,categorical,6.35,3,cramers_v,0.08294810074307378,0.08294810074307378,4.749059921605015e-09,5571
