feature,feature_type,missing_pct_train,n_unique_train,association_metric,association_value,abs_association,p_value,n_train_non_null
huq051___#times_receive_healthcare_over_past_year,categorical,0.0,10,cramers_v,0.31520130254418205,0.31520130254418205,1.749666063829694e-121,5949
dpq040___feeling_tired_or_having_little_energy,categorical,12.81,6,cramers_v,0.29106292670571104,0.29106292670571104,9.354725352211087e-93,5187
mcq160a___ever_told_you_had_arthritis,categorical,6.44,3,cramers_v,0.28524382303123386,0.28524382303123386,4.5713329909712584e-99,5566
cdq010___shortness_of_breath_on_stairs/inclines,categorical,43.69,3,cramers_v,0.2711296375045243,0.2711296375045243,3.3474553605803726e-54,3350
huq090___seen_mental_health_professional/past_yr,categorical,0.0,3,cramers_v,0.2543186364966872,0.2543186364966872,2.808159844072502e-84,5949
cdq001___sp_ever_had_pain_or_discomfort_in_chest,categorical,43.69,3,cramers_v,0.25156449507021356,0.25156449507021356,9.203970291024838e-47,3350
huq010___general_health_condition,categorical,0.0,7,cramers_v,0.23672934299679516,0.23672934299679516,5.67589195432485e-69,5949
mcq366b___doctor_told_to_increase_exercise,categorical,0.0,3,cramers_v,0.23130603299910635,0.23130603299910635,7.673916165099783e-70,5949
bpq020___ever_told_you_had_high_blood_pressure,categorical,0.0,3,cramers_v,0.22652849257350555,0.22652849257350555,5.135945296773546e-67,5949
slq030___how_often_do_you_snore?,categorical,0.0,6,cramers_v,0.21531423295785115,0.21531423295785115,1.5917444055577264e-57,5949
mcq366d___doctor_told_to_reduce_fat_in_diet,categorical,0.0,3,cramers_v,0.19379722027764315,0.19379722027764315,3.0413288470882684e-49,5949
mcq160p___ever_told_you_had_copd_emphysema,categorical,6.44,3,cramers_v,0.18173427620923738,0.18173427620923738,1.2071915192099055e-40,5566
kiq480___how_many_times_urinate_in_night?,categorical,18.1,8,cramers_v,0.17486912915342773,0.17486912915342773,6.641883491987009e-29,4872
mcq366c___doctor_told_to_reduce_salt,categorical,0.0,3,cramers_v,0.17430757188728044,0.17430757188728044,5.633802835022253e-40,5949
mcq520___abdominal_pain_during_past_12_months?,categorical,6.44,3,cramers_v,0.17051201555923148,0.17051201555923148,7.23662106867716e-36,5566
kiq005___how_often_have_urinary_leakage?,categorical,18.07,7,cramers_v,0.17027272927077503,0.17027272927077503,5.300014567384618e-28,4874
slq300___usual_sleep_time_on_weekdays_or_workdays,categorical,0.62,64,cramers_v,0.14584327762504606,0.14584327762504606,4.537005084452035e-06,5912
