feature,importance_mean,importance_std
dpq040___feeling_tired_or_having_little_energy,0.078600345852644,0.009645523182329169
cdq010___shortness_of_breath_on_stairs/inclines,0.04962856942036667,0.00870858674815903
bpq020___ever_told_you_had_high_blood_pressure,0.032153781324525496,0.008059605746205014
slq030___how_often_do_you_snore?,0.030457603500995828,0.005566334953309839
mcq010___ever_been_told_you_have_asthma,0.011355878783085648,0.00357876120490309
mcq160p___ever_told_you_had_copd_emphysema,0.009690009618468642,0.0031511377318258426
alq111___ever_had_a_drink_of_any_kind_of_alcohol,0.005503360609347275,0.0020477883540623632
sld012___sleep_hours___weekdays_or_workdays,0.002737685095828646,0.0008594080946325982
sld013___sleep_hours___weekends,0.0016047558671678896,0.0014901170271627547
slq310___usual_wake_time_on_weekdays_or_workdays,0.001602744073149115,0.0014845859099289383
slq330___usual_wake_time_on_weekends,0.0011673147308130182,0.0016005725653293584
paq605___vigorous_work_activity,0.0009132813194422329,0.0012541672240251288
slq320___usual_sleep_time_on_weekends,0.0007575037134066543,0.0014739678679454276
slq300___usual_sleep_time_on_weekdays_or_workdays,0.0002849375981751334,0.001546267145994933
paq665___moderate_recreational_activities,-0.0004033250027564661,0.0010014335378166815
alq170___past_30_days_#_times_4_5_drinks_on_an_oc,-0.0008162361521070304,0.0009307437932383834
