threshold,roc_auc,precision,recall,f1
0.1,0.7774,0.3237,1.0,0.4891
0.15,0.7774,0.3285,0.9958,0.4941
0.2,0.7774,0.3443,0.9792,0.5095
0.25,0.7774,0.3799,0.9563,0.5437
0.3,0.7774,0.4133,0.9168,0.5698
0.35,0.7774,0.4567,0.8441,0.5927
0.4,0.7774,0.4908,0.7796,0.6024
0.45,0.7774,0.535,0.7152,0.6121
0.5,0.7774,0.5676,0.6549,0.6081
0.55,0.7774,0.5919,0.5759,0.5838
0.6,0.7774,0.6331,0.5094,0.5645
0.65,0.7774,0.6616,0.4553,0.5394
0.7,0.7774,0.7176,0.3909,0.5061
0.75,0.7774,0.7349,0.3285,0.454
0.8,0.7774,0.7588,0.2682,0.3963
0.85,0.7774,0.8347,0.21,0.3355
0.9,0.7774,0.9091,0.1247,0.2194
