model,threshold,precision,recall,f1,flag_count,flag_rate
lr,0.1,0.2823848238482385,0.9971291866028709,0.44012671594508973,7380,0.996085841544068
lr,0.15,0.2843043180260452,0.9923444976076555,0.44198188598827914,7295,0.9846133081387501
lr,0.2,0.28924112778790856,0.9866028708133971,0.44733702136891207,7129,0.9622081252530706
lr,0.25,0.2953322669768795,0.9717703349282296,0.45299431247909006,6877,0.9281954379808341
lr,0.3,0.30412054120541204,0.9464114832535885,0.46032115429369325,6504,0.8778512619786746
lr,0.35,0.3169918292479573,0.9095693779904306,0.47013725732657347,5997,0.8094209744904846
lr,0.4,0.3424443576727841,0.8392344497607656,0.4864115363283417,5122,0.6913213659063301
lr,0.45,0.3685610640870617,0.7291866028708134,0.48963855421686747,4135,0.558105007423404
lr,0.5,0.4097155640779802,0.6133971291866028,0.49128185476144853,3129,0.4223242002969362
lr,0.55,0.44478260869565217,0.48947368421052634,0.4660592255125285,2300,0.3104332568497773
lr,0.6,0.46464646464646464,0.3521531100478469,0.4006532389765922,1584,0.21379403428262925
lr,0.65,0.4881889763779528,0.23732057416267943,0.31938184159690924,1016,0.13713051693885814
lr,0.7,0.5031746031746032,0.15167464114832535,0.2330882352941176,630,0.08503171818059117
lr,0.75,0.5420054200542005,0.09569377990430622,0.16266775111834078,369,0.0498042920772034
lr,0.8,0.5412371134020618,0.050239234449760764,0.09194395796847636,194,0.02618437036037252
lr,0.85,0.44871794871794873,0.01674641148325359,0.03228782287822879,78,0.010527736536644622
lr,0.9,0.5652173913043478,0.006220095693779904,0.012304779933743492,23,0.003104332568497773
rf_cal,0.1,0.2963123644251627,0.9803827751196172,0.45508051082731815,6915,0.9333243352679174
rf_cal,0.15,0.3364368845120859,0.899043062200957,0.4896416938110749,5585,0.7538129302200027
rf_cal,0.2,0.36958839837918533,0.8291866028708134,0.5112848502729016,4689,0.6328789310298286
rf_cal,0.25,0.39327521793275216,0.7555023923444976,0.5172809172809172,4015,0.5419084896747199
rf_cal,0.3,0.42360676268002506,0.6473684210526316,0.512112036336109,3194,0.43109731407747337
rf_cal,0.35,0.463081130355515,0.4861244019138756,0.4743230625583567,2194,0.29612633283843975
rf_cal,0.4,0.5117079889807162,0.3555023923444976,0.419536984754376,1452,0.1959778647590768
rf_cal,0.45,0.5518867924528302,0.2799043062200957,0.3714285714285714,1060,0.14306924011337563
rf_cal,0.5,0.5679487179487179,0.21196172248803827,0.3087108013937282,780,0.10527736536644622
rf_cal,0.55,0.5833333333333334,0.12392344497607656,0.20441988950276244,444,0.05992711567013092
rf_cal,0.6,0.6320346320346321,0.06985645933014355,0.1258078414476519,231,0.031178296666216763
rf_cal,0.65,0.6836734693877551,0.03205741626794258,0.06124314442413163,98,0.013227156161425294
rf_cal,0.7,0.7272727272727273,0.022966507177033493,0.044526901669758805,66,0.008908084761776219
rf_cal,0.75,0.6756756756756757,0.011961722488038277,0.023507287259050304,37,0.004993926305844243
rf_cal,0.8,0.65,0.006220095693779904,0.012322274881516587,20,0.0026994196247806723
rf_cal,0.85,0.625,0.0023923444976076554,0.004766444232602479,8,0.001079767849912269
rf_cal,0.9,0.3333333333333333,0.0004784688995215311,0.0009555661729574774,3,0.00040491294371710083
