canonical_feature,mapped_dataset_column,nhanes_code_match,chosen_cohort_column,match_strategy,included_in_model,feature_non_null
age_years,age_years,RIDAGEYR,age_years,derived_or_exact,True,20470
huq010___general_health_condition,huq010___general_health_condition,HUQ010,huq010_general_health,nhanes_code,True,20470
med_count,med_count,RXDCOUNT,med_count,derived_or_exact,True,20470
alq130___avg_#_alcoholic_drinks/day___past_12_mos,alq130___avg_#_alcoholic_drinks/day___past_12_mos,ALQ130,alq130_avg_drinks_per_day,nhanes_code,True,5521
cdq010___shortness_of_breath_on_stairs/inclines,cdq010___shortness_of_breath_on_stairs/inclines,CDQ010,cdq010_sob_stairs,nhanes_code,True,6354
hdl_cholesterol_mg_dl,hdl_cholesterol_mg_dl,LBDHDD,,,False,0
kiq480___how_many_times_urinate_in_night?,kiq480___how_many_times_urinate_in_night?,KIQ480,kiq480_nocturia,nhanes_code,True,4344
smq020___smoked_at_least_100_cigarettes_in_life,smq020___smoked_at_least_100_cigarettes_in_life,SMQ020,,,False,0
uacr_mg_g,uacr_mg_g,,,,False,0
huq071___overnight_hospital_patient_in_last_year,huq071___overnight_hospital_patient_in_last_year,HUQ071,huq071_hospital,nhanes_code,True,20470
fasting_glucose_mg_dl,fasting_glucose_mg_dl,LBXGLU,,,False,0
slq050___ever_told_doctor_had_trouble_sleeping?,slq050___ever_told_doctor_had_trouble_sleeping?,SLQ050,slq050_sleep_trouble_doctor,nhanes_code,True,6139
dpq040___feeling_tired_or_having_little_energy,dpq040___feeling_tired_or_having_little_energy,DPQ040,dpq040_fatigue,nhanes_code,True,4836
diq070___take_diabetic_pills_to_lower_blood_sugar,diq070___take_diabetic_pills_to_lower_blood_sugar,DIQ070,diq070_diabetes_pills,nhanes_code,True,559
paq650___vigorous_recreational_activities,paq650___vigorous_recreational_activities,PAQ650,,,False,0
slq030___how_often_do_you_snore?,slq030___how_often_do_you_snore?,SLQ030,slq030_snore_freq,nhanes_code,True,6139
mcq160a___ever_told_you_had_arthritis,mcq160a___ever_told_you_had_arthritis,MCQ160A,mcq160a_arthritis,nhanes_code,True,10019
smd650___avg_#_cigarettes/day_during_past_30_days,smd650___avg_#_cigarettes/day_during_past_30_days,SMD650,,,False,0
LBXWBCSI_white_blood_cell_count_1000_cells_ul,LBXWBCSI_white_blood_cell_count_1000_cells_ul,LBXWBCSI,wbc_1000_cells_ul,nhanes_code,True,8400
alq151___ever_have_4/5_or_more_drinks_every_day?,alq151___ever_have_4/5_or_more_drinks_every_day?,ALQ151,,,False,0
bpq030___told_had_high_blood_pressure___2+_times,bpq030___told_had_high_blood_pressure___2+_times,BPQ030,,,False,0
mcq010___ever_been_told_you_have_asthma,mcq010___ever_been_told_you_have_asthma,MCQ010,,,False,0
mcq300c___close_relative_had_diabetes,mcq300c___close_relative_had_diabetes,MCQ300C,mcq300c_family_diabetes,nhanes_code,True,4979
education_ord,education_ord,,education_ord,derived_or_exact,True,9997
gender_female,gender_female,,gender_female,derived_or_exact,True,20470
triglycerides_mg_dl,triglycerides_mg_dl,LBXTR,,,False,0
mcq080___doctor_ever_said_you_were_overweight,mcq080___doctor_ever_said_you_were_overweight,MCQ080,mcq080_overweight_dx,nhanes_code,True,10402
paq665___moderate_recreational_activities,paq665___moderate_recreational_activities,PAQ665,,,False,0
bpq080___doctor_told_you___high_cholesterol_level,bpq080___doctor_told_you___high_cholesterol_level,BPQ080,bpq080_high_cholesterol,nhanes_code,True,6856
mcq053___taking_treatment_for_anemia/past_3_mos,mcq053___taking_treatment_for_anemia/past_3_mos,MCQ053,mcq053_anemia_treatment,nhanes_code,True,19467
