column,action,method,reason,source_label,source_url
alt_u_l,reference_normalize,interval,Lab upper-limit reference intervals used for transform.,ACG abnormal liver chemistries guideline,https://pubmed.ncbi.nlm.nih.gov/27995906/
ast_u_l,reference_normalize,interval,Sex-specific AST reference intervals.,ACG abnormal liver chemistries guideline,https://pubmed.ncbi.nlm.nih.gov/27995906/
bmi,reference_normalize,interval,Healthy BMI interval 18.5-24.9 kg/m^2.,WHO BMI categories,https://www.worldobesity.org/about/about-obesity/obesity-classification
ferritin_ng_ml,reference_normalize,interval,Premenopausal vs postmenopausal female split approximated with age 50 because menopause status is not consistently available.,CDC Nutrition Report and WHO ferritin guidance,https://www.cdc.gov/nutrition-report/media/Trace.pdf
ggt_u_l,reference_normalize,interval,Sex-specific adult GGT reference intervals.,GGT reference review,https://pmc.ncbi.nlm.nih.gov/articles/PMC8637680/
serum_albumin_g_dl,reference_normalize,interval,General adult reference interval.,MedlinePlus albumin interval,https://medlineplus.gov/ency/article/003468.htm
serum_creatinine_mg_dl,reference_normalize,interval,Adult sex-specific reference intervals; dataset age range is 18-65 so elderly rule is not used here.,NIH Clinical Methods creatinine interval,https://www.ncbi.nlm.nih.gov/books/NBK305/
transferrin_saturation_pct,reference_normalize,interval,Sex-specific adult transferrin saturation intervals.,Medscape transferrin saturation interval,https://emedicine.medscape.com/article/2087960-overview
waist_cm,reference_normalize,upper_only,Sex-specific at-risk waist thresholds.,NIH NHLBI waist circumference risk,https://www.nhlbi.nih.gov/health/educational/lose_wt/risk.htm
ALQ110,untouched,categorical_numeric_or_protected,Protected identifier or low-cardinality numeric code kept as categorical-like.,,
ALQ120U,untouched,categorical_numeric_or_protected,Protected identifier or low-cardinality numeric code kept as categorical-like.,,
BPXPULS,untouched,categorical_numeric_or_protected,Protected identifier or low-cardinality numeric code kept as categorical-like.,,
CFS_suspect,untouched,categorical_numeric_or_protected,Protected identifier or low-cardinality numeric code kept as categorical-like.,,
LBDHD,untouched,categorical_numeric_or_protected,Protected identifier or low-cardinality numeric code kept as categorical-like.,,
LBXHCG,untouched,categorical_numeric_or_protected,Protected identifier or low-cardinality numeric code kept as categorical-like.,,
SEQN,untouched,categorical_numeric_or_protected,Protected identifier or low-cardinality numeric code kept as categorical-like.,,
activity_level,untouched,non_numeric,Non-numeric column preserved as-is.,,
age_years,untouched,categorical_numeric_or_protected,Protected identifier or low-cardinality numeric code kept as categorical-like.,,
anemia,untouched,categorical_numeric_or_protected,Protected identifier or low-cardinality numeric code kept as categorical-like.,,
bpq020_high_bp,untouched,categorical_numeric_or_protected,Protected identifier or low-cardinality numeric code kept as categorical-like.,,
bpq040a_bp_meds,untouched,categorical_numeric_or_protected,Protected identifier or low-cardinality numeric code kept as categorical-like.,,
bpq080_high_cholesterol,untouched,categorical_numeric_or_protected,Protected identifier or low-cardinality numeric code kept as categorical-like.,,
cdq010_sob_stairs,untouched,categorical_numeric_or_protected,Protected identifier or low-cardinality numeric code kept as categorical-like.,,
cycle,untouched,non_numeric,Non-numeric column preserved as-is.,,
diabetes,untouched,categorical_numeric_or_protected,Protected identifier or low-cardinality numeric code kept as categorical-like.,,
diq010_diabetes,untouched,categorical_numeric_or_protected,Protected identifier or low-cardinality numeric code kept as categorical-like.,,
diq050_insulin,untouched,categorical_numeric_or_protected,Protected identifier or low-cardinality numeric code kept as categorical-like.,,
diq070_diabetes_pills,untouched,categorical_numeric_or_protected,Protected identifier or low-cardinality numeric code kept as categorical-like.,,
diq160_prediabetes,untouched,categorical_numeric_or_protected,Protected identifier or low-cardinality numeric code kept as categorical-like.,,
dpq010_anhedonia,untouched,categorical_numeric_or_protected,Protected identifier or low-cardinality numeric code kept as categorical-like.,,
dpq020_depressed,untouched,categorical_numeric_or_protected,Protected identifier or low-cardinality numeric code kept as categorical-like.,,
dpq030_sleep,untouched,categorical_numeric_or_protected,Protected identifier or low-cardinality numeric code kept as categorical-like.,,
dpq040_fatigue,untouched,categorical_numeric_or_protected,Protected identifier or low-cardinality numeric code kept as categorical-like.,,
dpq070_concentration,untouched,categorical_numeric_or_protected,Protected identifier or low-cardinality numeric code kept as categorical-like.,,
education_code,untouched,categorical_numeric_or_protected,Protected identifier or low-cardinality numeric code kept as categorical-like.,,
electrolyte_imbalance,untouched,categorical_numeric_or_protected,Protected identifier or low-cardinality numeric code kept as categorical-like.,,
gender,untouched,non_numeric,Non-numeric column preserved as-is.,,
gender_code,untouched,categorical_numeric_or_protected,Protected identifier or low-cardinality numeric code kept as categorical-like.,,
hbv_core_antibody_code,untouched,categorical_numeric_or_protected,Protected identifier or low-cardinality numeric code kept as categorical-like.,,
hbv_surface_antigen_code,untouched,categorical_numeric_or_protected,Protected identifier or low-cardinality numeric code kept as categorical-like.,,
hcv_antibody_confirmed_code,untouched,categorical_numeric_or_protected,Protected identifier or low-cardinality numeric code kept as categorical-like.,,
hcv_rna_code,untouched,categorical_numeric_or_protected,Protected identifier or low-cardinality numeric code kept as categorical-like.,,
hepatitis_bc,untouched,categorical_numeric_or_protected,Protected identifier or low-cardinality numeric code kept as categorical-like.,,
hidden_inflammation,untouched,categorical_numeric_or_protected,Protected identifier or low-cardinality numeric code kept as categorical-like.,,
huq010_general_health,untouched,categorical_numeric_or_protected,Protected identifier or low-cardinality numeric code kept as categorical-like.,,
huq030_routine_care,untouched,categorical_numeric_or_protected,Protected identifier or low-cardinality numeric code kept as categorical-like.,,
huq071_hospital,untouched,categorical_numeric_or_protected,Protected identifier or low-cardinality numeric code kept as categorical-like.,,
infection_inflammation,untouched,categorical_numeric_or_protected,Protected identifier or low-cardinality numeric code kept as categorical-like.,,
inflammation_score,untouched,categorical_numeric_or_protected,Protected identifier or low-cardinality numeric code kept as categorical-like.,,
iron_deficiency,untouched,categorical_numeric_or_protected,Protected identifier or low-cardinality numeric code kept as categorical-like.,,
kidney,untouched,categorical_numeric_or_protected,Protected identifier or low-cardinality numeric code kept as categorical-like.,,
kiq005_urinary_leakage_freq,untouched,categorical_numeric_or_protected,Protected identifier or low-cardinality numeric code kept as categorical-like.,,
kiq022_weak_kidneys,untouched,categorical_numeric_or_protected,Protected identifier or low-cardinality numeric code kept as categorical-like.,,
kiq042_leak_exertion,untouched,categorical_numeric_or_protected,Protected identifier or low-cardinality numeric code kept as categorical-like.,,
kiq044_urge_incontinence,untouched,categorical_numeric_or_protected,Protected identifier or low-cardinality numeric code kept as categorical-like.,,
kiq046_nonphysical_incontinence,untouched,categorical_numeric_or_protected,Protected identifier or low-cardinality numeric code kept as categorical-like.,,
kiq480_nocturia,untouched,categorical_numeric_or_protected,Protected identifier or low-cardinality numeric code kept as categorical-like.,,
liver,untouched,categorical_numeric_or_protected,Protected identifier or low-cardinality numeric code kept as categorical-like.,,
mcq053_anemia_treatment,untouched,categorical_numeric_or_protected,Protected identifier or low-cardinality numeric code kept as categorical-like.,,
mcq080_overweight_dx,untouched,categorical_numeric_or_protected,Protected identifier or low-cardinality numeric code kept as categorical-like.,,
mcq092_transfusion,untouched,categorical_numeric_or_protected,Protected identifier or low-cardinality numeric code kept as categorical-like.,,
mcq160a_arthritis,untouched,categorical_numeric_or_protected,Protected identifier or low-cardinality numeric code kept as categorical-like.,,
mcq160b_heart_failure,untouched,categorical_numeric_or_protected,Protected identifier or low-cardinality numeric code kept as categorical-like.,,
mcq160l_liver_condition,untouched,categorical_numeric_or_protected,Protected identifier or low-cardinality numeric code kept as categorical-like.,,
mcq160m_ever_thyroid,untouched,categorical_numeric_or_protected,Protected identifier or low-cardinality numeric code kept as categorical-like.,,
mcq170l_active_liver,untouched,categorical_numeric_or_protected,Protected identifier or low-cardinality numeric code kept as categorical-like.,,
mcq170m_active_thyroid,untouched,categorical_numeric_or_protected,Protected identifier or low-cardinality numeric code kept as categorical-like.,,
mcq300c_family_diabetes,untouched,categorical_numeric_or_protected,Protected identifier or low-cardinality numeric code kept as categorical-like.,,
menopause,untouched,categorical_numeric_or_protected,Protected identifier or low-cardinality numeric code kept as categorical-like.,,
perimenopause_proxy_probable,untouched,categorical_numeric_or_protected,Protected identifier or low-cardinality numeric code kept as categorical-like.,,
perimenopause_proxy_score,untouched,categorical_numeric_or_protected,Protected identifier or low-cardinality numeric code kept as categorical-like.,,
prediabetes,untouched,categorical_numeric_or_protected,Protected identifier or low-cardinality numeric code kept as categorical-like.,,
pregnancy_status_code,untouched,categorical_numeric_or_protected,Protected identifier or low-cardinality numeric code kept as categorical-like.,,
pulse_mean,untouched,categorical_numeric_or_protected,Protected identifier or low-cardinality numeric code kept as categorical-like.,,
rhd143_pregnant_now,untouched,categorical_numeric_or_protected,Protected identifier or low-cardinality numeric code kept as categorical-like.,,
rhd280_hysterectomy,untouched,categorical_numeric_or_protected,Protected identifier or low-cardinality numeric code kept as categorical-like.,,
rhq031_regular_periods,untouched,categorical_numeric_or_protected,Protected identifier or low-cardinality numeric code kept as categorical-like.,,
rhq131_ever_pregnant,untouched,categorical_numeric_or_protected,Protected identifier or low-cardinality numeric code kept as categorical-like.,,
rhq200_breastfeeding,untouched,categorical_numeric_or_protected,Protected identifier or low-cardinality numeric code kept as categorical-like.,,
rhq540_hormone_use,untouched,categorical_numeric_or_protected,Protected identifier or low-cardinality numeric code kept as categorical-like.,,
rxd_disease_list,untouched,non_numeric,Non-numeric column preserved as-is.,,
sleep_disorder,untouched,categorical_numeric_or_protected,Protected identifier or low-cardinality numeric code kept as categorical-like.,,
slq030_snore_freq,untouched,categorical_numeric_or_protected,Protected identifier or low-cardinality numeric code kept as categorical-like.,,
slq040_stop_breathing_freq,untouched,categorical_numeric_or_protected,Protected identifier or low-cardinality numeric code kept as categorical-like.,,
slq050_sleep_trouble_doctor,untouched,categorical_numeric_or_protected,Protected identifier or low-cardinality numeric code kept as categorical-like.,,
smq040_smoke_now,untouched,categorical_numeric_or_protected,Protected identifier or low-cardinality numeric code kept as categorical-like.,,
thyroid,untouched,categorical_numeric_or_protected,Protected identifier or low-cardinality numeric code kept as categorical-like.,,
vitamin_b12_deficiency,untouched,categorical_numeric_or_protected,Protected identifier or low-cardinality numeric code kept as categorical-like.,,
vitamin_d_deficiency,untouched,categorical_numeric_or_protected,Protected identifier or low-cardinality numeric code kept as categorical-like.,,
vitamin_deficiency_any,untouched,categorical_numeric_or_protected,Protected identifier or low-cardinality numeric code kept as categorical-like.,,
whq040_weight_preference,untouched,categorical_numeric_or_protected,Protected identifier or low-cardinality numeric code kept as categorical-like.,,
