column,action,method,reason,source_label,source_url
LBDHDD_direct_hdl_cholesterol_mg_dl,reference_normalize,interval,Sex-specific normal HDL range.,Cleveland Clinic HDL guidance,https://my.clevelandclinic.org/health/articles/24395-hdl-cholesterol
LBDLDL_ldl_cholesterol_friedewald_mg_dl,reference_normalize,upper_only,General desirable LDL target <100 mg/dL.,ACC/AHA dyslipidemia guideline,https://www.ahajournals.org/doi/10.1161/CIR.0000000000001423
LBDPCT_transferrin_saturation,reference_normalize,interval,Sex-specific adult transferrin saturation intervals.,Medscape transferrin saturation interval,https://emedicine.medscape.com/article/2087960-overview
LBDTIB_total_iron_binding_capacity_tibc_ug_dl,reference_normalize,interval,General adult TIBC reference interval.,MSD Manual TIBC interval,https://www.msdmanuals.com/professional/multimedia/table/typical-normal-serum-values-for-iron-iron-binding-capacity-ferritin-and-transferrin-saturation
LBXFER_ferritin_ng_ml,reference_normalize,interval,Premenopausal vs postmenopausal female split approximated with age 50 because menopause status is not consistently available.,CDC Nutrition Report and WHO ferritin guidance,https://www.cdc.gov/nutrition-report/media/Trace.pdf
LBXGH_glycohemoglobin,reference_normalize,upper_only,Normal HbA1c cutoff <5.7%.,ADA Standards of Care 2025,https://diabetesjournals.org/care/article/48/Supplement_1/S27/157566/
LBXGLU_fasting_glucose_mg_dl,reference_normalize,upper_only,Normal fasting glucose cutoff <100 mg/dL.,ADA Standards of Care 2025,https://diabetesjournals.org/care/article/48/Supplement_1/S27/157566/
LBXHCT_hematocrit,reference_normalize,interval,2.5th-97.5th percentile reference intervals.,Beutler & Waalen 2019 (NHANES 1999-2012),https://pmc.ncbi.nlm.nih.gov/articles/PMC6306047/
LBXHGB_hemoglobin_g_dl,reference_normalize,interval,2.5th-97.5th percentile reference intervals.,Beutler & Waalen 2019 (NHANES 1999-2012),https://pmc.ncbi.nlm.nih.gov/articles/PMC6306047/
LBXHSCRP_hs_c_reactive_protein_mg_l,reference_normalize,upper_only,High cardiovascular risk threshold >3.0 mg/L.,AHA/CDC hs-CRP statement,https://www.ahajournals.org/doi/10.1161/01.cir.0000093381.57779.67
LBXIRN_iron_frozen_serum_ug_dl,reference_normalize,interval,Sex-specific adult serum iron reference intervals.,MSD Manual serum iron interval,https://www.msdmanuals.com/professional/multimedia/table/typical-normal-serum-values-for-iron-iron-binding-capacity-ferritin-and-transferrin-saturation
LBXMCHSI_mean_cell_hemoglobin_pg,reference_normalize,interval,2.5th-97.5th percentile reference intervals.,Beutler & Waalen 2019 (NHANES 1999-2012),https://pmc.ncbi.nlm.nih.gov/articles/PMC6306047/
LBXMCVSI_mean_cell_volume_fl,reference_normalize,interval,2.5th-97.5th percentile reference intervals.,Beutler & Waalen 2019 (NHANES 1999-2012),https://pmc.ncbi.nlm.nih.gov/articles/PMC6306047/
LBXPLTSI_platelet_count_1000_cells_ul,reference_normalize,interval,Sex- and age-specific platelet intervals summarized from NHANES III findings.,NHANES III platelet analysis,https://ashpublications.org/blood/article/104/11/3937/78171/
LBXRBCSI_red_blood_cell_count_million_cells_ul,reference_normalize,interval,2.5th-97.5th percentile reference intervals.,Beutler & Waalen 2019 (NHANES 1999-2012),https://pmc.ncbi.nlm.nih.gov/articles/PMC6306047/
LBXSAL_albumin_refrigerated_serum_g_dl,reference_normalize,interval,General adult reference interval.,MedlinePlus albumin interval,https://medlineplus.gov/ency/article/003468.htm
LBXSAPSI_alkaline_phosphatase_alp_iu_l,reference_normalize,interval,Sex-specific adult ALP reference intervals.,ACG abnormal liver chemistries guideline,https://pubmed.ncbi.nlm.nih.gov/27995906/
LBXSASSI_aspartate_aminotransferase_ast_u_l,reference_normalize,interval,Sex-specific AST reference intervals.,ACG abnormal liver chemistries guideline,https://pubmed.ncbi.nlm.nih.gov/27995906/
LBXSATSI_alanine_aminotransferase_alt_u_l,reference_normalize,interval,Lab upper-limit reference intervals used for transform.,ACG abnormal liver chemistries guideline,https://pubmed.ncbi.nlm.nih.gov/27995906/
LBXSC3SI_bicarbonate_mmol_l,reference_normalize,interval,General adult reference interval.,ACCP lab values table,https://www.accp.com/docs/sap/Lab_Values_Table_PSAP.pdf
LBXSCA_total_calcium_mg_dl,reference_normalize,interval,General adult reference interval.,MedlinePlus CMP,https://medlineplus.gov/lab-tests/comprehensive-metabolic-panel-cmp/
LBXSCR_creatinine_refrigerated_serum_mg_dl,reference_normalize,interval,Adult sex-specific reference intervals; dataset age range is 18-65 so elderly rule is not used here.,NIH Clinical Methods creatinine interval,https://www.ncbi.nlm.nih.gov/books/NBK305/
LBXSGTSI_gamma_glutamyl_transferase_ggt_iu_l,reference_normalize,interval,Sex-specific adult GGT reference intervals.,GGT reference review,https://pmc.ncbi.nlm.nih.gov/articles/PMC8637680/
LBXSIR_iron_refrigerated_serum_ug_dl,reference_normalize,interval,Sex-specific adult serum iron reference intervals.,MSD Manual serum iron interval,https://www.msdmanuals.com/professional/multimedia/table/typical-normal-serum-values-for-iron-iron-binding-capacity-ferritin-and-transferrin-saturation
LBXSKSI_potassium_mmol_l,reference_normalize,interval,General adult reference interval.,ACCP lab values table,https://www.accp.com/docs/sap/Lab_Values_Table_PSAP.pdf
LBXSNASI_sodium_mmol_l,reference_normalize,interval,General adult reference interval.,ACCP lab values table,https://www.accp.com/docs/sap/Lab_Values_Table_PSAP.pdf
LBXSTB_total_bilirubin_mg_dl,reference_normalize,interval,General adult total bilirubin reference interval.,Medscape bilirubin overview,https://emedicine.medscape.com/article/2074068-overview
LBXSTP_total_protein_g_dl,reference_normalize,interval,General adult reference interval.,MedlinePlus total protein interval,https://medlineplus.gov/ency/article/003468.htm
LBXTC_total_cholesterol_mg_dl,reference_normalize,upper_only,Desirable total cholesterol <200 mg/dL.,ACC/AHA dyslipidemia guideline,https://www.ahajournals.org/doi/10.1161/CIR.0000000000001423
LBXTR_triglyceride_mg_dl,reference_normalize,upper_only,Normal triglycerides <150 mg/dL.,ACC/AHA dyslipidemia guideline,https://www.ahajournals.org/doi/10.1161/CIR.0000000000001423
LBXWBCSI_white_blood_cell_count_1000_cells_ul,reference_normalize,interval,Adult clinical reference interval; not NHANES-specific.,StatPearls WBC reference range,https://www.ncbi.nlm.nih.gov/books/NBK604207/
alp_u_l,reference_normalize,interval,Sex-specific adult ALP reference intervals.,ACG abnormal liver chemistries guideline,https://pubmed.ncbi.nlm.nih.gov/27995906/
alt_u_l,reference_normalize,interval,Lab upper-limit reference intervals used for transform.,ACG abnormal liver chemistries guideline,https://pubmed.ncbi.nlm.nih.gov/27995906/
ast_u_l,reference_normalize,interval,Sex-specific AST reference intervals.,ACG abnormal liver chemistries guideline,https://pubmed.ncbi.nlm.nih.gov/27995906/
bmi,reference_normalize,interval,Healthy BMI interval 18.5-24.9 kg/m^2.,WHO BMI categories,https://www.worldobesity.org/about/about-obesity/obesity-classification
bun_mg_dl,reference_normalize,interval,General adult reference interval.,NIH Clinical Methods BUN interval,https://www.ncbi.nlm.nih.gov/books/NBK305/
dbp_1,reference_normalize,upper_only,Normal diastolic blood pressure threshold <80 mmHg.,ACC/AHA blood pressure guideline,https://www.ahajournals.org/doi/10.1161/CIR.0000000000001356
dbp_2,reference_normalize,upper_only,Normal diastolic blood pressure threshold <80 mmHg.,ACC/AHA blood pressure guideline,https://www.ahajournals.org/doi/10.1161/CIR.0000000000001356
dbp_3,reference_normalize,upper_only,Normal diastolic blood pressure threshold <80 mmHg.,ACC/AHA blood pressure guideline,https://www.ahajournals.org/doi/10.1161/CIR.0000000000001356
fasting_glucose_mg_dl,reference_normalize,upper_only,Normal fasting glucose cutoff <100 mg/dL.,ADA Standards of Care 2025,https://diabetesjournals.org/care/article/48/Supplement_1/S27/157566/
ferritin_ng_ml,reference_normalize,interval,Premenopausal vs postmenopausal female split approximated with age 50 because menopause status is not consistently available.,CDC Nutrition Report and WHO ferritin guidance,https://www.cdc.gov/nutrition-report/media/Trace.pdf
ggt_u_l,reference_normalize,interval,Sex-specific adult GGT reference intervals.,GGT reference review,https://pmc.ncbi.nlm.nih.gov/articles/PMC8637680/
hdl_cholesterol_mg_dl,reference_normalize,interval,Sex-specific normal HDL range.,Cleveland Clinic HDL guidance,https://my.clevelandclinic.org/health/articles/24395-hdl-cholesterol
sbp_1,reference_normalize,upper_only,Normal systolic blood pressure threshold <120 mmHg.,ACC/AHA blood pressure guideline,https://www.ahajournals.org/doi/10.1161/CIR.0000000000001356
sbp_2,reference_normalize,upper_only,Normal systolic blood pressure threshold <120 mmHg.,ACC/AHA blood pressure guideline,https://www.ahajournals.org/doi/10.1161/CIR.0000000000001356
sbp_3,reference_normalize,upper_only,Normal systolic blood pressure threshold <120 mmHg.,ACC/AHA blood pressure guideline,https://www.ahajournals.org/doi/10.1161/CIR.0000000000001356
serum_albumin_g_dl,reference_normalize,interval,General adult reference interval.,MedlinePlus albumin interval,https://medlineplus.gov/ency/article/003468.htm
serum_creatinine_mg_dl,reference_normalize,interval,Adult sex-specific reference intervals; dataset age range is 18-65 so elderly rule is not used here.,NIH Clinical Methods creatinine interval,https://www.ncbi.nlm.nih.gov/books/NBK305/
serum_iron_ug_dl,reference_normalize,interval,Sex-specific adult serum iron reference intervals.,MSD Manual serum iron interval,https://www.msdmanuals.com/professional/multimedia/table/typical-normal-serum-values-for-iron-iron-binding-capacity-ferritin-and-transferrin-saturation
tibc_ug_dl,reference_normalize,interval,General adult TIBC reference interval.,MSD Manual TIBC interval,https://www.msdmanuals.com/professional/multimedia/table/typical-normal-serum-values-for-iron-iron-binding-capacity-ferritin-and-transferrin-saturation
total_bilirubin_mg_dl,reference_normalize,interval,General adult total bilirubin reference interval.,Medscape bilirubin overview,https://emedicine.medscape.com/article/2074068-overview
total_cholesterol_mg_dl,reference_normalize,upper_only,Desirable total cholesterol <200 mg/dL.,ACC/AHA dyslipidemia guideline,https://www.ahajournals.org/doi/10.1161/CIR.0000000000001423
transferrin_saturation_pct,reference_normalize,interval,Sex-specific adult transferrin saturation intervals.,Medscape transferrin saturation interval,https://emedicine.medscape.com/article/2087960-overview
triglycerides_mg_dl,reference_normalize,upper_only,Normal triglycerides <150 mg/dL.,ACC/AHA dyslipidemia guideline,https://www.ahajournals.org/doi/10.1161/CIR.0000000000001423
waist_cm,reference_normalize,upper_only,Sex-specific at-risk waist thresholds.,NIH NHLBI waist circumference risk,https://www.nhlbi.nih.gov/health/educational/lose_wt/risk.htm
CFS_suspect,untouched,categorical_numeric_or_protected,Protected identifier or low-cardinality numeric code kept as categorical-like.,,
LBD17HLC_17a_hydroxyprogesterone_comment_code,untouched,categorical_numeric_or_protected,Protected identifier or low-cardinality numeric code kept as categorical-like.,,
LBD2DFLC_blood_2_5_dimethylfuran_comment_code,untouched,categorical_numeric_or_protected,Protected identifier or low-cardinality numeric code kept as categorical-like.,,
LBD4CELC_blood_1_1_1_2_tetrachloroethane_cmt_code,untouched,categorical_numeric_or_protected,Protected identifier or low-cardinality numeric code kept as categorical-like.,,
LBDAMHLC_anti_mullerian_hormone_comment_code,untouched,categorical_numeric_or_protected,Protected identifier or low-cardinality numeric code kept as categorical-like.,,
LBDANDLC_androstenedione_comment_code,untouched,categorical_numeric_or_protected,Protected identifier or low-cardinality numeric code kept as categorical-like.,,
LBDBANO_basophils_number_1000_cells_ul,untouched,categorical_numeric_or_protected,Protected identifier or low-cardinality numeric code kept as categorical-like.,,
LBDBCDLC_blood_cadmium_comment_code,untouched,categorical_numeric_or_protected,Protected identifier or low-cardinality numeric code kept as categorical-like.,,
LBDBCOLC_cobalt_comment_code,untouched,categorical_numeric_or_protected,Protected identifier or low-cardinality numeric code kept as categorical-like.,,
LBDBCRLC_chromium_comment_code,untouched,categorical_numeric_or_protected,Protected identifier or low-cardinality numeric code kept as categorical-like.,,
LBDBFOAL_br_perfluorooctanoic_acid_iso_comt_code,untouched,categorical_numeric_or_protected,Protected identifier or low-cardinality numeric code kept as categorical-like.,,
LBDBGELC_mercury_ethyl_comment_code,untouched,categorical_numeric_or_protected,Protected identifier or low-cardinality numeric code kept as categorical-like.,,
LBDBGMLC_mercury_methyl_comment_code,untouched,categorical_numeric_or_protected,Protected identifier or low-cardinality numeric code kept as categorical-like.,,
LBDBMNLC_blood_manganese_comment_code,untouched,categorical_numeric_or_protected,Protected identifier or low-cardinality numeric code kept as categorical-like.,,
LBDBPBLC_blood_lead_comment_code,untouched,categorical_numeric_or_protected,Protected identifier or low-cardinality numeric code kept as categorical-like.,,
LBDBSELC_blood_selenium_comment_code,untouched,categorical_numeric_or_protected,Protected identifier or low-cardinality numeric code kept as categorical-like.,,
LBDCOTLC_cotinine_serum_comment_code,untouched,categorical_numeric_or_protected,Protected identifier or low-cardinality numeric code kept as categorical-like.,,
LBDEOALC_ethylene_oxide_comment_code,untouched,categorical_numeric_or_protected,Protected identifier or low-cardinality numeric code kept as categorical-like.,,
