column,missing_fraction,drop_for_ml_ready,drop_for_cluster_optional
mcq149___menstrual_periods_started_yet?,1.0,True,True
medication_21,0.9997310743579401,True,True
medication_22,0.9997310743579401,True,True
medication_20,0.99959661153691,True,True
mcq230c___what_kind_of_cancer_third_mention,0.9993276858948501,True,True
medication_19,0.9993276858948501,True,True
mcq510b___liver_condition_non_alcoholic_fatty_liver,0.9991932230738201,True,True
medication_18,0.9990587602527901,True,True
cdq009g___pain_in_left_arm,0.9985209089686702,True,True
cdq009c___pain_in_neck,0.9983864461476402,True,True
medication_17,0.9983864461476402,True,True
mcq510e___liver_condition_autoimmune,0.9982519833266101,True,True
cdq009a___pain_in_right_arm,0.9981175205055802,True,True
medication_16,0.9975796692214602,True,True
mcq510c___liver_condition_alcoholic_liver_disease,0.9970418179373404,True,True
rhq020___age_range_at_first_menstrual_period,0.9967728922952803,True,True
medication_15,0.9966384294742504,True,True
whd080u___had_weight_loss_surgery_to_lose_weight,0.9966384294742504,True,True
URDFLOW3_urine_3_flow_rate_ml_min,0.9961005781901304,True,True
URDTIME3_minutes_b_w_urine_2_urine_3,0.9961005781901304,True,True
URXVOL3_the_volume_of_urine_collection_3_ml,0.9961005781901304,True,True
mcq230b___what_kind_of_cancer_second_mention,0.9961005781901304,True,True
rhq070___age_range_at_last_menstrual_period,0.9961005781901304,True,True
medication_14,0.9952938012639505,True,True
medication_13,0.9942180986957107,True,True
cdq009b___pain_in_right_chest,0.9940836358746806,True,True
rhq542b___hormone_patches_used,0.9931423961274708,True,True
whd080p___started_to_smoke_or_began_to_smoke_again,0.9930079333064408,True,True
PHAALCHR_alcohol_fast_time_hours,0.9923356192012909,True,True
PHAALCMN_alcohol_fast_time_minutes,0.9923356192012909,True,True
cdq009e___pain_in_lower_sternum,0.9923356192012909,True,True
mcq510d___liver_condition_hepatitis,0.9920666935592308,True,True
whd080l___other,0.9919322307382009,True,True
rxdrsc3___icd_10_cm_code_3,0.991528842275111,True,True
rxdrsd3___icd_10_cm_code_3_description,0.991528842275111,True,True
LBXHCG_hepatitis_c_genotype,0.990990990990991,True,True
whd080k___took_laxatives_or_vomited,0.9908565281699611,True,True
heq020___ever_prescribed_meds_treat_hepatitis_b?,0.990184214064811,True,True
mcq510f___liver_condition_other,0.990184214064811,True,True
PHAANTHR_antacids_laxatives_fast_time_hours,0.9900497512437811,True,True
PHAANTMN_antacids_laxatives_fast_time_minutes,0.9900497512437811,True,True
medication_12,0.9899152884227511,True,False
cdq009f___pain_in_left_chest,0.9873604948231814,True,False
medication_11,0.9861503294339116,True,False
rhq542c___hormone_cream/suppository/injection_used,0.9856124781497916,True,False
mcd180d___age_when_told_you_had_angina,0.9853435525077316,True,False
PHACOFHR_coffee_tea_fast_time_hours,0.9844023127605217,True,False
PHACOFMN_coffee_tea_fast_time_minutes,0.9844023127605217,True,False
heq040___ever_prescribed_meds_treat_hepatitis_c?,0.9831921473712518,True,False
cdq009d___pain_in_upper_sternum,0.982250907624042,True,False
whd080i___took_prescription_diet_pills,0.982250907624042,True,False
mcd180b___age_when_told_you_had_chf,0.9799650396665323,True,False
mcd180c___age_when_told_you_had_chd,0.9792927255613822,True,False
PHASUPHR_dietary_supplements_fast_time_hours,0.9791582627403523,True,False
PHASUPMN_dietary_supplements_fast_time_minutes,0.9791582627403523,True,False
medication_10,0.9783514858141724,True,False
SSVARGI_varicella_gpelisa_interpretation,0.9779480973510825,True,False
whd080h___joined_a_weight_loss_program,0.9776791717090224,True,False
mcq510a___liver_condition_fatty_liver,0.9767379319618126,True,False
kiq025___received_dialysis_in_past_12_months?,0.9749899152884227,True,False
mcd180e___age_when_told_you_had_heart_attack,0.9748554524673928,True,False
diq060u___unit_of_measure_(month/year),0.9720317332257631,True,False
did060___how_long_taking_insulin,0.9714938819416431,True,False
mcd180f___age_when_told_you_had_a_stroke,0.9705526421944333,True,False
rhq542a___hormone_pills_used,0.9702837165523732,True,False
rhq554___use_hormone_pills_w/estrogen_only,0.9702837165523732,True,False
rhq570___used_estrogen/progestin_combo_pills,0.9702837165523732,True,False
PHAGUMHR_gum_mints_cough_drops_fast_time_hours,0.9692080139841334,True,False
PHAGUMMN_gum_mints_cough_fast_time_minutes,0.9692080139841334,True,False
rhq200___now_breastfeeding_a_child?,0.9684012370579534,True,False
whd080j___took_non_rx_suppl._to_lose_weight,0.9682667742369235,True,False
rhq197___how_many_months_ago_have_baby?,0.9681323114158935,True,False
medication_9,0.9679978485948635,True,False
rhq332___age_when_both_ovaries_removed,0.9671910716686836,True,False
whd080n___followed_a_special_diet,0.9630227242167541,True,False
whd080g___used_a_liquid_diet_formula,0.9624848729326341,True,False
cdq006___how_soon_is_the_pain_relieved,0.9622159472905741,True,False
rxdrsc2___icd_10_cm_code_2,0.9583165254807046,True,False
rxdrsd2___icd_10_cm_code_2_description,0.9583165254807046,True,False
mcd180l___age_when_told_you_had_liver_condition,0.9562995831652548,True,False
mcq170l___still_have_liver_condition,0.9562995831652548,True,False
medication_8,0.9554928062390748,True,False
cdq005___does_standing_relieve_pain/discomfort,0.954013715207745,True,False
whd080f___ate_diet_foods_or_products,0.9519967728922952,True,False
cdq004___if_so_does_sp_continue_or_slow_down,0.9482318139034557,False,False
kiq470___how_frequently_does_this_occur?,0.9463493344090359,False,False
cdq003___during_an_ordinary_pace_on_level_ground,0.945542557482856,False,False
mcq230a___what_kind_of_cancer_first_mention,0.945408094661826,False,False
mcq500___ever_told_you_had_any_liver_condition,0.9380126395051768,False,False
medication_7,0.9380126395051768,False,False
did250___past_year_how_many_times_seen_doctor,0.9221460266236385,False,False
mcq570___age_when_1st_had_gallbladder_surgery?,0.9214737125184886,False,False
kiq029___pass_kidney_stone_in_past_12_months?,0.9210703240553987,False,False
diq260u___unit_of_measure_(day/week/month/year),0.9205324727712787,False,False
mcd093___year_receive_blood_transfusion,0.9194567702030388,False,False
mcq170m___still_have_thyroid_problem,0.917843216350679,False,False
diq350u___unit_of_measure_(day/week/month/year),0.9159607368562592,False,False
medication_6,0.9159607368562592,False,False
mcd180m___age_when_told_you_had_thyroid_problem,0.9142127201828695,False,False
diq280___what_was_your_last_a1c_level,0.9136748688987495,False,False
diq291___what_does_dr_say_a1c_should_be,0.9134059432566896,False,False
did330___what_does_dr_say_ldl_should_be,0.9025144547532608,False,False
mcq040___had_asthma_attack_in_past_year,0.9017076778270808,False,False
mcq050___emergency_care_visit_for_asthma/past_yr,0.9013042893639909,False,False
diq275___past_year_dr_checked_for_a1c,0.8982116444803012,False,False
diq360___last_time_had_pupils_dilated_for_exam,0.8970014790910313,False,False
did341___past_year_times_dr_check_feet_for_sores,0.8963291649858814,False,False
did350___how_often_do_you_check_your_feet,0.8963291649858814,False,False
diq230___how_long_ago_saw_a_diabetes_specialist,0.8961947021648514,False,False
did260___how_often_check_blood_for_glucose/sugar,0.8959257765227915,False,False
diq080___diabetes_affected_eyes/had_retinopathy,0.8959257765227915,False,False
diq240___is_there_one_dr_you_see_for_diabetes,0.8959257765227915,False,False
did320___what_was_most_recent_ldl_number,0.8957913137017615,False,False
diq300d___what_was_your_recent_dbp,0.8957913137017615,False,False
diq300s___what_was_your_recent_sbp,0.8957913137017615,False,False
did040___age_when_first_told_you_had_diabetes,0.8956568508807314,False,False
did310d___what_does_dr_say_dbp_should_be,0.8956568508807314,False,False
did310s___what_does_dr_say_sbp_should_be,0.8956568508807314,False,False
diq050___taking_insulin_now,0.8956568508807314,False,False
medication_5,0.8853032136614226,False,False
oral_gum_problem_yesno,0.8840930482721527,False,False
alq290___#_times_12+_drinks_in_1_day/past_12_mos,0.8824794944197929,False,False
whd080e___skipped_meals,0.8756218905472637,False,False
URDFLOW2_urine_2_flow_rate_ml_min,0.8695710636009143,False,False
URDTIME2_minutes_b_w_urine_1_urine_2,0.8695710636009143,False,False
URXVOL2_the_volume_of_urine_collection_2_ml,0.8695710636009143,False,False
smq078___how_soon_after_waking_do_you_smoke,0.8562592443189458,False,False
rhd143___are_you_pregnant_now?,0.8553180045717359,False,False
cdq002___sp_get_it_walking_uphill_or_in_a_hurry,0.8393169288691676,False,False
