column,duplicate_of
LBD4CELC_blood_1_1_1_2_tetrachloroethane_cmt_code,LBDV3BLC_blood_1_3_dichlorobenzene_comment_code
LBD4CELC_blood_1_1_1_2_tetrachloroethane_cmt_code,LBDVDELC_blood_1_2_dibromoethane_comment_code
LBD4CELC_blood_1_1_1_2_tetrachloroethane_cmt_code,LBDVFTLC_blood_aaa_trifluorotoluene_comment_code
LBDBSELC_blood_selenium_comment_code,LBDBMNLC_blood_manganese_comment_code
LBDSF1LC_5_methyl_tetrahydrofolate_cmt,LBDSF6LC_mefox_oxidation_product_cmt
LBX4CE_blood_1_1_1_2_tetrachloroethane_ng_ml,LBXVTFT_blood_aaa_trifluorotoluene_ng_ml
URDDHBLC_n_ace_s_3_4_dihidxybutl_l_cys_comt,URDPMMLC_n_a_s_3_hydrxprpl_1_metl_l_cys_comt
URDUCSLC_urinary_cesium_comment_code,URDUMOLC_urinary_molybdenum_comment_code
URXUMA_albumin_urine_ug_ml,URXUMS_albumin_urine_mg_l
WTFOLPRP_folate_folate_form_weight_pre_pandemic,WTFOLPRP__p_folfms
WTSAFPRP_fasting_subsample_weight,WTSAFPRP__p_ins
WTSAFPRP_fasting_subsample_weight,WTSAFPRP__p_trigly
WTSAPRP_subsample_a_weights_pre_pandemic,WTSAPRP__p_pernt
WTSAPRP_subsample_a_weights_pre_pandemic,WTSAPRP__p_uas
WTSAPRP_subsample_a_weights_pre_pandemic,WTSAPRP__p_ucm
WTSAPRP_subsample_a_weights_pre_pandemic,WTSAPRP__p_uhg
WTSAPRP_subsample_a_weights_pre_pandemic,WTSAPRP__p_uio
WTSAPRP_subsample_a_weights_pre_pandemic,WTSAPRP__p_um
WTSAPRP_subsample_a_weights_pre_pandemic,WTSAPRP__p_uni
WTSAPRP_subsample_a_weights_pre_pandemic,WTSAPRP__p_utas
WTSAPRP_subsample_a_weights_pre_pandemic,WTSAPRP__p_uvoc
WTSBPRP_subsample_b_weights_pre_pandemic,WTSBPRP__p_opd
alp_u_l,LBXSAPSI_alkaline_phosphatase_alp_iu_l
alt_u_l,LBXSATSI_alanine_aminotransferase_alt_u_l
ast_u_l,LBXSASSI_aspartate_aminotransferase_ast_u_l
fasting_glucose_mg_dl,LBXGLU_fasting_glucose_mg_dl
fasting_hours_part,PHAFSTHR_total_length_of_food_fast_hours
fasting_minutes_part,PHAFSTMN_total_length_of_food_fast_minutes
ferritin_ng_ml,LBXFER_ferritin_ng_ml
ggt_u_l,LBXSGTSI_gamma_glutamyl_transferase_ggt_iu_l
hdl_cholesterol_mg_dl,LBDHDD_direct_hdl_cholesterol_mg_dl
insulin_uU_ml,LBXIN
mcq149___menstrual_periods_started_yet?,LBXIGGA_cytomegalovirus_cmv_igg_avidity
mcq149___menstrual_periods_started_yet?,LBXIGG_cytomegalovirus_cmv_igg
mcq149___menstrual_periods_started_yet?,LBXIGM_cytomegalovirus_cmv_igm
mcq149___menstrual_periods_started_yet?,mcq151___age_in_years_at_first_menstrual_period
mcq149___menstrual_periods_started_yet?,smd630___age_first_smoked_whole_cigarette
mcq149___menstrual_periods_started_yet?,smq621___cigarettes_smoked_in_entire_life
serum_albumin_g_dl,LBXSAL_albumin_refrigerated_serum_g_dl
serum_creatinine_mg_dl,LBXSCR_creatinine_refrigerated_serum_mg_dl
serum_iron_ug_dl,LBXIRN_iron_frozen_serum_ug_dl
tibc_ug_dl,LBDTIB_total_iron_binding_capacity_tibc_ug_dl
total_bilirubin_mg_dl,LBXSTB_total_bilirubin_mg_dl
total_cholesterol_mg_dl,LBXTC_total_cholesterol_mg_dl
transferrin_receptor_mg_l,LBXTFR_transferrin_receptor_mg_l
transferrin_saturation_pct,LBDPCT_transferrin_saturation
triglycerides_mg_dl,LBXTR_triglyceride_mg_dl
uacr_mg_g,URDACT_albumin_creatinine_ratio_mg_g
