column,action,count_abs_gt_8,count_abs_gt_12,min,q01,median,q99,max
LBXHSCRP_hs_c_reactive_protein_mg_l,reference_normalize,124,62,-0.9633333333333334,-0.9530666666666666,-0.3533333333333333,11.833799999999973,81.28666666666668
LBXSGTSI_gamma_glutamyl_transferase_ggt_iu_l,reference_normalize,101,58,-1.2857142857142858,-0.9523809523809524,-0.1904761904761904,11.266666666666667,112.61904761904762
ggt_u_l,reference_normalize,101,58,-1.2857142857142858,-0.9523809523809524,-0.1904761904761904,11.266666666666667,112.61904761904762
bmi,reference_normalize,230,32,-2.2187500000000004,-1.2500000000000002,2.1875000000000004,10.30250000000001,22.062500000000004
whq150___age_when_heaviest_weight,zscore_normalize,29,17,-3.13041317501473,-1.4429041263678617,-0.0576528351575517,1.3696109547102528,29.614167346005225
URDACT_albumin_creatinine_ratio_mg_g,zscore_normalize,26,17,-0.2737601756081397,-0.23708699044957254,-0.1151580466448923,2.4543997096911188,23.89216430780511
uacr_mg_g,zscore_normalize,26,17,-0.2737601756081397,-0.23708699044957254,-0.1151580466448923,2.4543997096911188,23.89216430780511
LBXSCR_creatinine_refrigerated_serum_mg_dl,reference_normalize,20,14,-1.9666666666666663,-1.1666666666666663,-0.1,2.433333333333333,39.46666666666667
serum_creatinine_mg_dl,reference_normalize,20,14,-1.9666666666666663,-1.1666666666666663,-0.1,2.433333333333333,39.46666666666667
URXUMA_albumin_urine_ug_ml,zscore_normalize,28,13,-0.2978544786910356,-0.2759007651837884,-0.1233137940929705,3.2866924896824354,22.611027176915627
URXUMS_albumin_urine_mg_l,zscore_normalize,28,13,-0.2978544786910356,-0.2759007651837884,-0.1233137940929705,3.2866924896824354,22.611027176915627
LBXSASSI_aspartate_aminotransferase_ast_u_l,reference_normalize,24,13,-1.3,-1.0,-0.3,4.7,30.933333333333337
ast_u_l,reference_normalize,24,13,-1.3,-1.0,-0.3,4.7,30.933333333333337
LBDBGESI_mercury_ethyl_nmol_l,zscore_normalize,20,13,-0.0945083407291209,-0.0945083407291209,-0.0752088771769804,-0.0381801774160587,26.866385083945566
