feature_name,dataset_column,method,sex,age_min,age_max,lower,upper,scale,source_label,source_url,note
hemoglobin_g_dl,LBXHGB_hemoglobin_g_dl,interval,Male,20.0,35.0,13.5,17.5,,Beutler & Waalen 2019 (NHANES 1999-2012),https://pmc.ncbi.nlm.nih.gov/articles/PMC6306047/,2.5th-97.5th percentile reference intervals.
hemoglobin_g_dl,LBXHGB_hemoglobin_g_dl,interval,Male,36.0,55.0,13.5,17.3,,Beutler & Waalen 2019 (NHANES 1999-2012),https://pmc.ncbi.nlm.nih.gov/articles/PMC6306047/,2.5th-97.5th percentile reference intervals.
hemoglobin_g_dl,LBXHGB_hemoglobin_g_dl,interval,Male,56.0,79.0,12.4,17.3,,Beutler & Waalen 2019 (NHANES 1999-2012),https://pmc.ncbi.nlm.nih.gov/articles/PMC6306047/,2.5th-97.5th percentile reference intervals.
hemoglobin_g_dl,LBXHGB_hemoglobin_g_dl,interval,Female,20.0,25.0,11.1,15.4,,Beutler & Waalen 2019 (NHANES 1999-2012),https://pmc.ncbi.nlm.nih.gov/articles/PMC6306047/,2.5th-97.5th percentile reference intervals.
hemoglobin_g_dl,LBXHGB_hemoglobin_g_dl,interval,Female,26.0,30.0,11.1,15.2,,Beutler & Waalen 2019 (NHANES 1999-2012),https://pmc.ncbi.nlm.nih.gov/articles/PMC6306047/,2.5th-97.5th percentile reference intervals.
hemoglobin_g_dl,LBXHGB_hemoglobin_g_dl,interval,Female,31.0,40.0,10.6,15.2,,Beutler & Waalen 2019 (NHANES 1999-2012),https://pmc.ncbi.nlm.nih.gov/articles/PMC6306047/,2.5th-97.5th percentile reference intervals.
hemoglobin_g_dl,LBXHGB_hemoglobin_g_dl,interval,Female,41.0,45.0,10.6,15.5,,Beutler & Waalen 2019 (NHANES 1999-2012),https://pmc.ncbi.nlm.nih.gov/articles/PMC6306047/,2.5th-97.5th percentile reference intervals.
hemoglobin_g_dl,LBXHGB_hemoglobin_g_dl,interval,Female,46.0,50.0,10.6,15.9,,Beutler & Waalen 2019 (NHANES 1999-2012),https://pmc.ncbi.nlm.nih.gov/articles/PMC6306047/,2.5th-97.5th percentile reference intervals.
hemoglobin_g_dl,LBXHGB_hemoglobin_g_dl,interval,Female,51.0,79.0,11.4,15.9,,Beutler & Waalen 2019 (NHANES 1999-2012),https://pmc.ncbi.nlm.nih.gov/articles/PMC6306047/,2.5th-97.5th percentile reference intervals.
hematocrit_pct,LBXHCT_hematocrit,interval,Male,20.0,35.0,40.2,51.0,,Beutler & Waalen 2019 (NHANES 1999-2012),https://pmc.ncbi.nlm.nih.gov/articles/PMC6306047/,2.5th-97.5th percentile reference intervals.
