condition_key,condition,n,ml_top1,ml_top3,bayes_top1,bayes_top3,final_top1,final_top3,delta_top3_bayes_vs_ml,delta_top3_final_vs_bayes
hepatitis,Hepatitis,43,0.11627906976744186,0.27906976744186046,0.5581395348837209,0.7209302325581395,0.5581395348837209,0.7209302325581395,0.441860465116279,0.0
iron_deficiency,Iron Deficiency,38,0,0.15789473684210525,0.7368421052631579,0.9210526315789473,0.7368421052631579,0.9210526315789473,0.763157894736842,0.0
anemia,Anemia,60,0.1,0.4666666666666667,0.4666666666666667,0.5666666666666667,0.4666666666666667,0.5833333333333334,0.09999999999999998,0.01666666666666672
thyroid,Hypothyroidism,68,0.7058823529411765,0.9264705882352942,0.7941176470588235,0.9852941176470589,0.7941176470588235,0.9852941176470589,0.05882352941176472,0.0
kidney,Kidney,43,0,0.23255813953488372,0.46511627906976744,0.7441860465116279,0.46511627906976744,0.7906976744186046,0.5116279069767442,0.046511627906976716
prediabetes,Prediabetes,43,0.023255813953488372,0.2558139534883721,0.18604651162790697,0.7906976744186046,0.18604651162790697,0.8604651162790697,0.5348837209302325,0.06976744186046513
electrolytes,Electrolytes,44,0,0.4772727272727273,0.4318181818181818,0.6136363636363636,0.4318181818181818,0.5909090909090909,0.13636363636363635,-0.022727272727272707
inflammation,Inflammation,46,0.15217391304347827,0.2826086956521739,0.3695652173913043,0.391304347826087,0.3695652173913043,0.391304347826087,0.10869565217391308,0.0
sleep_disorder,Sleep Disorder,82,0.32926829268292684,0.9024390243902439,0.1951219512195122,0.5609756097560976,0.1951219512195122,0.5609756097560976,-0.3414634146341463,0.0
perimenopause,Perimenopause,68,0,0,0,0.1323529411764706,0,0.1323529411764706,0.1323529411764706,0.0
liver,Liver,41,0,0,0,0,0,0,0,0
